
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
stage2:   9%|▊         | 367/4218 [04:30<46:40,  1.38it/s]
stage2:   9%|▊         | 368/4218 [04:31<46:11,  1.39it/s]
stage2:   9%|▊         | 369/4218 [04:32<46:08,  1.39it/s]
stage2:   9%|▉         | 370/4218 [04:32<46:11,  1.39it/s]
stage2:   9%|▉         | 371/4218 [04:33<46:13,  1.39it/s]
stage2:   9%|▉         | 372/4218 [04:34<46:03,  1.39it/s]
stage2:   9%|▉         | 373/4218 [04:34<46:10,  1.39it/s]
stage2:   9%|▉         | 374/4218 [04:35<46:11,  1.39it/s]
stage2:   9%|▉         | 375/4218 [04:36<46:25,  1.38it/s]
stage2:   9%|▉         | 376/4218 [04:37<46:55,  1.36it/s]
stage2:   9%|▉         | 377/4218 [04:37<46:48,  1.37it/s]
stage2:   9%|▉         | 378/4218 [04:38<46:17,  1.38it/s]
stage2:   9%|▉         | 379/4218 [04:39<46:35,  1.37it/s]
stage2:   9%|▉         | 380/4218 [04:40<47:13,  1.35it/s]
stage2:   9%|▉         | 381/4218 [04:40<47:19,  1.35it/s]
stage2:   9%|▉         | 382/4218 [04:41<48:01,  1.33it/s]
stage2:   9%|▉         | 383/4218 [04:42<47:24,  1.35it/s]
stage2:   9%|▉         | 384/4218 [04:43<47:05,  1.36it/s]
stage2:   9%|▉         | 385/4218 [04:43<46:45,  1.37it/s]
