
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
feature_stats:   2%|▏         | 196/8435 [01:00<42:41,  3.22it/s]
feature_stats:   2%|▏         | 197/8435 [01:00<42:21,  3.24it/s]
feature_stats:   2%|▏         | 198/8435 [01:01<42:37,  3.22it/s]
feature_stats:   2%|▏         | 199/8435 [01:01<42:12,  3.25it/s]
feature_stats:   2%|▏         | 200/8435 [01:01<42:01,  3.27it/s]
feature_stats:   2%|▏         | 201/8435 [01:01<42:02,  3.26it/s]
feature_stats:   2%|▏         | 202/8435 [01:02<41:49,  3.28it/s]
feature_stats:   2%|▏         | 203/8435 [01:02<41:52,  3.28it/s]
feature_stats:   2%|▏         | 204/8435 [01:02<42:11,  3.25it/s]
feature_stats:   2%|▏         | 205/8435 [01:03<41:53,  3.27it/s]
feature_stats:   2%|▏         | 206/8435 [01:03<42:30,  3.23it/s]
feature_stats:   2%|▏         | 207/8435 [01:03<42:33,  3.22it/s]
feature_stats:   2%|▏         | 208/8435 [01:04<42:14,  3.25it/s]
feature_stats:   2%|▏         | 209/8435 [01:04<42:38,  3.22it/s]
feature_stats:   2%|▏         | 210/8435 [01:04<42:08,  3.25it/s]
feature_stats:   3%|▎         | 211/8435 [01:05<42:32,  3.22it/s]
feature_stats:   3%|▎         | 212/8435 [01:05<42:26,  3.23it/s]
feature_stats:   3%|▎         | 213/8435 [01:05<42:00,  3.26it/s]
feature_stats:   3%|▎         | 214/8435 [01:05<41:46,  3.28it/s]
feature_stats:   3%|▎         | 215/8435 [01:06<42:08,  3.25it/s]
feature_stats:   3%|▎         | 216/8435 [01:06<41:44,  3.28it/s]
feature_stats:   3%|▎         | 217/8435 [01:06<41:44,  3.28it/s]
feature_stats:   3%|▎         | 218/8435 [01:07<42:15,  3.24it/s]
feature_stats:   3%|▎         | 219/8435 [01:07<42:03,  3.26it/s]
feature_stats:   3%|▎         | 220/8435 [01:07<41:37,  3.29it/s]
feature_stats:   3%|▎         | 221/8435 [01:08<41:37,  3.29it/s]
feature_stats:   3%|▎         | 222/8435 [01:08<41:37,  3.29it/s]
feature_stats:   3%|▎         | 223/8435 [01:08<41:38,  3.29it/s]
feature_stats:   3%|▎         | 224/8435 [01:08<41:28,  3.30it/s]
feature_stats:   3%|▎         | 225/8435 [01:09<41:40,  3.28it/s]
feature_stats:   3%|▎         | 226/8435 [01:09<41:39,  3.28it/s]
feature_stats:   3%|▎         | 227/8435 [01:09<42:17,  3.23it/s]
feature_stats:   3%|▎         | 228/8435 [01:10<42:30,  3.22it/s]
feature_stats:   3%|▎         | 229/8435 [01:10<42:17,  3.23it/s]
feature_stats:   3%|▎         | 230/8435 [01:10<42:42,  3.20it/s]
feature_stats:   3%|▎         | 231/8435 [01:11<42:41,  3.20it/s]
feature_stats:   3%|▎         | 232/8435 [01:11<42:07,  3.25it/s]
feature_stats:   3%|▎         | 233/8435 [01:11<41:46,  3.27it/s]
feature_stats:   3%|▎         | 234/8435 [01:12<41:58,  3.26it/s]
feature_stats:   3%|▎         | 235/8435 [01:12<41:44,  3.27it/s]
feature_stats:   3%|▎         | 236/8435 [01:12<41:31,  3.29it/s]
feature_stats:   3%|▎         | 237/8435 [01:13<42:16,  3.23it/s]
feature_stats:   3%|▎         | 238/8435 [01:13<41:59,  3.25it/s]
feature_stats:   3%|▎         | 239/8435 [01:13<41:55,  3.26it/s]
feature_stats:   3%|▎         | 240/8435 [01:13<42:27,  3.22it/s]
feature_stats:   3%|▎         | 241/8435 [01:14<42:08,  3.24it/s]
feature_stats:   3%|▎         | 242/8435 [01:14<41:50,  3.26it/s]
feature_stats:   3%|▎         | 243/8435 [01:14<41:34,  3.28it/s]
feature_stats:   3%|▎         | 244/8435 [01:15<41:18,  3.30it/s]
feature_stats:   3%|▎         | 245/8435 [01:15<41:11,  3.31it/s]
feature_stats:   3%|▎         | 246/8435 [01:15<41:59,  3.25it/s]
feature_stats:   3%|▎         | 247/8435 [01:16<42:13,  3.23it/s]
feature_stats:   3%|▎         | 248/8435 [01:16<41:46,  3.27it/s]
feature_stats:   3%|▎         | 249/8435 [01:16<41:36,  3.28it/s]
feature_stats:   3%|▎         | 250/8435 [01:16<41:36,  3.28it/s]
feature_stats:   3%|▎         | 251/8435 [01:17<42:06,  3.24it/s]
feature_stats:   3%|▎         | 252/8435 [01:17<42:02,  3.24it/s]
feature_stats:   3%|▎         | 253/8435 [01:17<42:03,  3.24it/s]
feature_stats:   3%|▎         | 254/8435 [01:18<42:20,  3.22it/s]
feature_stats:   3%|▎         | 255/8435 [01:18<42:42,  3.19it/s]
feature_stats:   3%|▎         | 256/8435 [01:18<42:13,  3.23it/s]
feature_stats:   3%|▎         | 257/8435 [01:19<41:52,  3.25it/s]
feature_stats:   3%|▎         | 258/8435 [01:19<42:03,  3.24it/s]
feature_stats:   3%|▎         | 259/8435 [01:19<42:27,  3.21it/s]
feature_stats:   3%|▎         | 260/8435 [01:20<41:57,  3.25it/s]
feature_stats:   3%|▎         | 261/8435 [01:20<41:43,  3.27it/s]
feature_stats:   3%|▎         | 262/8435 [01:20<41:23,  3.29it/s]
feature_stats:   3%|▎         | 263/8435 [01:20<41:36,  3.27it/s]
feature_stats:   3%|▎         | 264/8435 [01:21<42:15,  3.22it/s]
feature_stats:   3%|▎         | 265/8435 [01:21<41:50,  3.25it/s]
feature_stats:   3%|▎         | 266/8435 [01:21<41:42,  3.26it/s]
feature_stats:   3%|▎         | 267/8435 [01:22<41:46,  3.26it/s]
feature_stats:   3%|▎         | 268/8435 [01:22<42:08,  3.23it/s]
feature_stats:   3%|▎         | 269/8435 [01:22<41:58,  3.24it/s]
feature_stats:   3%|▎         | 270/8435 [01:23<42:30,  3.20it/s]
feature_stats:   3%|▎         | 271/8435 [01:23<42:05,  3.23it/s]
feature_stats:   3%|▎         | 272/8435 [01:23<41:59,  3.24it/s]
feature_stats:   3%|▎         | 273/8435 [01:24<41:51,  3.25it/s]
feature_stats:   3%|▎         | 274/8435 [01:24<41:49,  3.25it/s]
feature_stats:   3%|▎         | 275/8435 [01:24<41:21,  3.29it/s]
feature_stats:   3%|▎         | 276/8435 [01:24<41:24,  3.28it/s]
feature_stats:   3%|▎         | 277/8435 [01:25<41:28,  3.28it/s]
feature_stats:   3%|▎         | 278/8435 [01:25<41:14,  3.30it/s]
feature_stats:   3%|▎         | 279/8435 [01:25<41:38,  3.26it/s]
feature_stats:   3%|▎         | 280/8435 [01:26<42:08,  3.23it/s]
feature_stats:   3%|▎         | 281/8435 [01:26<42:23,  3.21it/s]
feature_stats:   3%|▎         | 282/8435 [01:26<42:24,  3.20it/s]
feature_stats:   3%|▎         | 283/8435 [01:27<41:53,  3.24it/s]
feature_stats:   3%|▎         | 284/8435 [01:27<42:04,  3.23it/s]
feature_stats:   3%|▎         | 285/8435 [01:27<41:45,  3.25it/s]
feature_stats:   3%|▎         | 286/8435 [01:28<41:47,  3.25it/s]
feature_stats:   3%|▎         | 287/8435 [01:28<41:22,  3.28it/s]
feature_stats:   3%|▎         | 288/8435 [01:28<41:17,  3.29it/s]
feature_stats:   3%|▎         | 289/8435 [01:28<41:18,  3.29it/s]
feature_stats:   3%|▎         | 290/8435 [01:29<41:48,  3.25it/s]
feature_stats:   3%|▎         | 291/8435 [01:29<41:52,  3.24it/s]
feature_stats:   3%|▎         | 292/8435 [01:29<41:43,  3.25it/s]
feature_stats:   3%|▎         | 293/8435 [01:30<41:42,  3.25it/s]
feature_stats:   3%|▎         | 294/8435 [01:30<42:12,  3.22it/s]
feature_stats:   3%|▎         | 295/8435 [01:30<41:39,  3.26it/s]
feature_stats:   4%|▎         | 296/8435 [01:31<41:56,  3.23it/s]
feature_stats:   4%|▎         | 297/8435 [01:31<41:44,  3.25it/s]
feature_stats:   4%|▎         | 298/8435 [01:31<41:18,  3.28it/s]
feature_stats:   4%|▎         | 299/8435 [01:32<41:07,  3.30it/s]
feature_stats:   4%|▎         | 300/8435 [01:32<41:06,  3.30it/s]
feature_stats:   4%|▎         | 301/8435 [01:32<41:23,  3.27it/s]
feature_stats:   4%|▎         | 302/8435 [01:32<41:48,  3.24it/s]
feature_stats:   4%|▎         | 303/8435 [01:33<42:02,  3.22it/s]
feature_stats:   4%|▎         | 304/8435 [01:33<41:29,  3.27it/s]
feature_stats:   4%|▎         | 305/8435 [01:33<41:46,  3.24it/s]
feature_stats:   4%|▎         | 306/8435 [01:34<42:20,  3.20it/s]
feature_stats:   4%|▎         | 307/8435 [01:34<41:56,  3.23it/s]
feature_stats:   4%|▎         | 308/8435 [01:34<41:30,  3.26it/s]
feature_stats:   4%|▎         | 309/8435 [01:35<42:06,  3.22it/s]
feature_stats:   4%|▎         | 310/8435 [01:35<41:44,  3.24it/s]
feature_stats:   4%|▎         | 311/8435 [01:35<41:21,  3.27it/s]
feature_stats:   4%|▎         | 312/8435 [01:36<41:08,  3.29it/s]
feature_stats:   4%|▎         | 313/8435 [01:36<41:01,  3.30it/s]
feature_stats:   4%|▎         | 314/8435 [01:36<41:38,  3.25it/s]
feature_stats:   4%|▎         | 315/8435 [01:36<41:39,  3.25it/s]
feature_stats:   4%|▎         | 316/8435 [01:37<41:20,  3.27it/s]
feature_stats:   4%|▍         | 317/8435 [01:37<40:57,  3.30it/s]
feature_stats:   4%|▍         | 318/8435 [01:37<41:01,  3.30it/s]
feature_stats:   4%|▍         | 319/8435 [01:38<41:09,  3.29it/s]
feature_stats:   4%|▍         | 320/8435 [01:38<40:53,  3.31it/s]
feature_stats:   4%|▍         | 321/8435 [01:38<41:01,  3.30it/s]
feature_stats:   4%|▍         | 322/8435 [01:39<41:06,  3.29it/s]
feature_stats:   4%|▍         | 323/8435 [01:39<41:32,  3.26it/s]
feature_stats:   4%|▍         | 324/8435 [01:39<41:30,  3.26it/s]
feature_stats:   4%|▍         | 325/8435 [01:40<41:17,  3.27it/s]
feature_stats:   4%|▍         | 326/8435 [01:40<41:02,  3.29it/s]
feature_stats:   4%|▍         | 327/8435 [01:40<41:26,  3.26it/s]
feature_stats:   4%|▍         | 328/8435 [01:40<41:05,  3.29it/s]
feature_stats:   4%|▍         | 329/8435 [01:41<40:54,  3.30it/s]
feature_stats:   4%|▍         | 330/8435 [01:41<41:36,  3.25it/s]
feature_stats:   4%|▍         | 331/8435 [01:41<41:10,  3.28it/s]
feature_stats:   4%|▍         | 332/8435 [01:42<40:49,  3.31it/s]
feature_stats:   4%|▍         | 333/8435 [01:42<41:49,  3.23it/s]
feature_stats:   4%|▍         | 334/8435 [01:42<41:36,  3.25it/s]
feature_stats:   4%|▍         | 335/8435 [01:43<41:22,  3.26it/s]
feature_stats:   4%|▍         | 336/8435 [01:43<41:20,  3.27it/s]
feature_stats:   4%|▍         | 337/8435 [01:43<41:19,  3.27it/s]
feature_stats:   4%|▍         | 338/8435 [01:43<40:53,  3.30it/s]
feature_stats:   4%|▍         | 339/8435 [01:44<40:50,  3.30it/s]
feature_stats:   4%|▍         | 340/8435 [01:44<40:43,  3.31it/s]
feature_stats:   4%|▍         | 341/8435 [01:44<41:10,  3.28it/s]
feature_stats:   4%|▍         | 342/8435 [01:45<41:35,  3.24it/s]
feature_stats:   4%|▍         | 343/8435 [01:45<41:15,  3.27it/s]
feature_stats:   4%|▍         | 344/8435 [01:45<41:00,  3.29it/s]
feature_stats:   4%|▍         | 345/8435 [01:46<41:27,  3.25it/s]
feature_stats:   4%|▍         | 346/8435 [01:46<41:43,  3.23it/s]
feature_stats:   4%|▍         | 347/8435 [01:46<41:23,  3.26it/s]
feature_stats:   4%|▍         | 348/8435 [01:47<41:22,  3.26it/s]
feature_stats:   4%|▍         | 349/8435 [01:47<41:10,  3.27it/s]
feature_stats:   4%|▍         | 350/8435 [01:47<40:55,  3.29it/s]
feature_stats:   4%|▍         | 351/8435 [01:47<41:17,  3.26it/s]
feature_stats:   4%|▍         | 352/8435 [01:48<41:51,  3.22it/s]
feature_stats:   4%|▍         | 353/8435 [01:48<41:32,  3.24it/s]
feature_stats:   4%|▍         | 354/8435 [01:48<41:25,  3.25it/s]
feature_stats:   4%|▍         | 355/8435 [01:49<41:06,  3.28it/s]
feature_stats:   4%|▍         | 356/8435 [01:49<41:31,  3.24it/s]
feature_stats:   4%|▍         | 357/8435 [01:49<41:41,  3.23it/s]
feature_stats:   4%|▍         | 358/8435 [01:50<41:11,  3.27it/s]
feature_stats:   4%|▍         | 359/8435 [01:50<41:28,  3.25it/s]
feature_stats:   4%|▍         | 360/8435 [01:50<41:17,  3.26it/s]
feature_stats:   4%|▍         | 361/8435 [01:51<41:04,  3.28it/s]
feature_stats:   4%|▍         | 362/8435 [01:51<41:04,  3.28it/s]
feature_stats:   4%|▍         | 363/8435 [01:51<41:02,  3.28it/s]
feature_stats:   4%|▍         | 364/8435 [01:51<40:51,  3.29it/s]
feature_stats:   4%|▍         | 365/8435 [01:52<40:56,  3.28it/s]
feature_stats:   4%|▍         | 366/8435 [01:52<40:47,  3.30it/s]
feature_stats:   4%|▍         | 367/8435 [01:52<40:38,  3.31it/s]
